name,id,x,y,width,height
Transformer_100,1,0,360,40,45
Transformer_100,1,240,360,40,45
Transformer_100,1,280,360,40,45
Transformer_100,1,320,360,40,45
Transformer_100,1,360,360,40,45
Transformer_100,1,400,360,40,45
Water_Supply_100,4,40,370,50,50
Transformer_100,1,0,405,40,45
Transformer_100,1,90,405,40,45
Transformer_100,1,130,405,40,45
Transformer_100,1,170,405,40,45
Transformer_100,1,210,405,40,45
Transformer_100,1,250,405,40,45
Transformer_100,1,290,405,40,45
Transformer_100,1,41,420,40,45
Transformer_100,1,0,450,40,45
Transformer_100,1,280,450,40,45
Transformer_100,1,320,450,40,45
Transformer_100,1,360,450,40,45
Transformer_100,1,400,450,40,45
Transformer_5000,3,80,465,200,200
Transformer_100,1,0,495,40,45
Transformer_100,1,40,495,40,45
Transformer_100,1,280,495,40,45
Transformer_100,1,320,495,40,45
Transformer_100,1,360,495,40,45
Transformer_100,1,400,495,40,45
Transformer_100,1,0,540,40,45
Transformer_100,1,40,540,40,45
Transformer_100,1,280,540,40,45
Transformer_100,1,320,540,40,45
Transformer_100,1,360,540,40,45
Transformer_100,1,400,540,40,45
Transformer_100,1,440,540,40,45
Transformer_100,1,0,585,40,45
Transformer_100,1,40,585,40,45
Transformer_100,1,280,585,40,45
Transformer_100,1,320,585,40,45
Transformer_100,1,360,585,40,45
Transformer_100,1,400,585,40,45
Transformer_100,1,0,630,40,45
Transformer_100,1,280,630,40,45
Transformer_100,1,420,630,40,45
Transformer_100,1,460,630,40,45
Transformer_100,1,500,630,40,45
Water_Supply_100,4,40,665,50,50
Transformer_100,1,160,665,40,45
Transformer_100,1,200,665,40,45
Transformer_1000,2,320,665,100,100
Transformer_100,1,0,675,40,45
Transformer_100,1,90,675,40,45
Transformer_100,1,240,675,40,45
Transformer_100,1,200,710,40,45
Transformer_100,1,40,715,40,45
Transformer_100,1,0,720,40,45
Transformer_100,1,80,720,40,45
Transformer_100,1,120,720,40,45
Transformer_100,1,160,720,40,45
Transformer_100,1,240,720,40,45
Transformer_100,1,280,720,40,45
Transformer_100,1,0,765,40,45
Transformer_100,1,40,765,40,45
Transformer_100,1,80,765,40,45
Transformer_100,1,120,765,40,45
Water_Supply_500,5,170,765,150,100
Transformer_100,1,320,765,40,45
Transformer_100,1,360,765,40,45
Transformer_100,1,400,765,40,45
Transformer_100,1,0,810,40,45
Water_Supply_100,4,40,810,50,50
Transformer_100,1,90,810,40,45
Transformer_100,1,130,810,40,45
Transformer_100,1,320,810,40,45
Transformer_100,1,0,855,40,45
Transformer_100,1,90,855,40,45
Transformer_100,1,320,855,40,45
Transformer_100,1,40,860,40,45
Water_Supply_100,4,160,865,50,50
Transformer_100,1,0,900,40,45
Transformer_100,1,80,900,40,45
Transformer_100,1,120,900,40,45
Transformer_100,1,40,905,40,45
Transformer_100,1,0,945,40,45
Water_Supply_100,4,80,945,50,50
Transformer_100,1,130,945,40,45
Transformer_100,1,170,945,40,45
Transformer_100,1,210,945,40,45
Water_Supply_100,4,250,945,50,50
Water_Supply_100,4,300,945,50,50
